Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
09/05/1994;  8.139,13;          1,01766000;       4,8283196207737994;
10/05/1994;  8.500,43;          1,01783333;       4,9144246379165334;
11/05/1994;  8.951,91;          1,01804000;       5,0030808583845476;
12/05/1994;  8.966,87;          1,01804667;       5,0933698076191303;
13/05/1994;  9.110,12;          1,01811000;       5,1856107348351128;
16/05/1994;  9.125,34;          1,01811667;       5,2795567332665780;
17/05/1994;  9.125,34;          1,01811667;       5,3752047203494466;
18/05/1994;  9.132,94;          1,01812000;       5,4726034298821786;
19/05/1994;  9.125,34;          1,01811667;       5,5717487802622222;
20/05/1994;  9.117,71;          1,01811333;       5,6726717045962093;
23/05/1994;  9.125,34;          1,01811667;       5,7754416258867163;
24/05/1994;  9.125,34;          1,01811667;       5,8800733959271694;
25/05/1994;  9.125,34;          1,01811667;       5,9866007452169612;
26/05/1994;  9.125,34;          1,01811667;       6,0950580153398110;
27/05/1994;  9.102,53;          1,01810667;       6,2054192194544239;
30/05/1994;  9.125,34;          1,01811667;       6,3178407516649373;
31/05/1994;  9.125,34;          1,01811667;       6,4322989876754029;
01/06/1994; 11.089,12;          1,01889667;       6,5538480189868391;
03/06/1994; 10.887,99;          1,01882333;       6,6772132630180746;
06/06/1994; 10.887,99;          1,01882333;       6,8029006517482406;
07/06/1994; 10.906,13;          1,01883000;       6,9309992710206600;
08/06/1994; 11.378,74;          1,01900000;       7,0626882571700525;
09/06/1994; 11.502,40;          1,01904333;       7,1971853603384667;
10/06/1994; 11.832,18;          1,01915667;       7,3350594652153018;
13/06/1994; 12.050,49;          1,01923000;       7,4761126587313920;
14/06/1994; 12.211,76;          1,01928333;       7,6202770062468869;
15/06/1994; 12.252,43;          1,01929667;       7,7673229769450210;
16/06/1994; 13.050,71;          1,01955000;       7,9191741411442961;
17/06/1994; 13.280,22;          1,01962000;       8,0745483377935472;
20/06/1994; 14.016,18;          1,01983667;       8,2347204885694063;
21/06/1994; 15.278,44;          1,02018333;       8,4009245696479639;
22/06/1994; 16.474,82;          1,02048667;       8,5730315390012338;
23/06/1994; 16.763,81;          1,02055667;       8,7492645192480743;
24/06/1994; 16.598,06;          1,02051667;       8,9287702921321956;
27/06/1994; 17.371,29;          1,02070000;       9,1135958371793321;
28/06/1994; 17.778,52;          1,02079333;       9,3030978429084282;
29/06/1994; 17.675,84;          1,02077000;       9,4963231851056363;
30/06/1994; 15.405,60;          1,02021667;       9,6883072171522658;
04/07/1994;    170,96;          1,00396333;       9,7267051757952219;
05/07/1994;    173,23;          1,00399667;       9,7655796065701674;
06/07/1994;    172,32;          1,00398333;       9,8044791327844066;
07/07/1994;    173,23;          1,00399667;       9,8436644004000320;
08/07/1994;    169,15;          1,00393667;       9,8824156587351548;
11/07/1994;    163,58;          1,00385333;       9,9204958674654287;
12/07/1994;    159,85;          1,00379667;       9,9581607165105587;
13/07/1994;    159,85;          1,00379667;       9,9959685665581128;
14/07/1994;    159,85;          1,00379667;      10,0339199605357070;
15/07/1994;    138,19;          1,00345000;      10,0685369843995552;
18/07/1994;    137,20;          1,00343333;      10,1031055944842037;
19/07/1994;    136,40;          1,00342000;      10,1376582156173397;
20/07/1994;    136,21;          1,00341667;      10,1722952483128930;
21/07/1994;     99,61;          1,00274667;      10,2002351865025766;
22/07/1994;     98,61;          1,00272667;      10,2280478617785576;
25/07/1994;     98,11;          1,00271667;      10,2558340925632155;
26/07/1994;     88,40;          1,00251667;      10,2816446425489466;
27/07/1994;     85,43;          1,00245333;      10,3068689097998512;
28/07/1994;     85,12;          1,00244667;      10,3320864167553912;
29/07/1994;     70,80;          1,00212667;      10,3540593549753124;
01/08/1994;     59,32;          1,00185000;      10,3732143647820167;
02/08/1994;     58,92;          1,00184000;      10,3923010792132156;
03/08/1994;     58,79;          1,00183667;      10,4113883068363742;
04/08/1994;     58,79;          1,00183667;      10,4305105913978913;
05/08/1994;     59,59;          1,00185667;      10,4498766074976221;
08/08/1994;     56,02;          1,00176667;      10,4683380910037899;
09/08/1994;     56,28;          1,00177333;      10,4869019089907096;
10/08/1994;     56,67;          1,00178333;      10,5056035157720700;
11/08/1994;     56,02;          1,00176667;      10,5241634503352791;
12/08/1994;     55,89;          1,00176333;      10,5427210234721588;
15/08/1994;     56,28;          1,00177333;      10,5614167469447127;
16/08/1994;     55,63;          1,00175667;      10,5799696709015680;
17/08/1994;     55,76;          1,00176000;      10,5985904175223548;
18/08/1994;     55,89;          1,00176333;      10,6172792299632845;
19/08/1994;     55,37;          1,00175000;      10,6358594686157202;
22/08/1994;     55,63;          1,00175667;      10,6545431638684534;
23/08/1994;     55,37;          1,00175000;      10,6731886144052232;
